City,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01
St. John's,113.1,122.8,131.6,131.1,120.2,128.3,123.4,121.4,121.2,122,121.9,123.6,120.2,101.4,81.3,91.5,102.9,107.2,106.7,106.6,110.3,112,117,124.8,130.8,141.6,141.2,143.5,145,153.4,151.9,153.8,160.2,159.1,151.7,159.2,170.9
Charlottetown,99.8,111.5,125.8,128.7,116.2,123.1,116.7,115.4,114.5,114.4,113.7,113.6,111,90.2,73.6,82.6,94.8,99.7,99.5,98.8,99.6,95.8,101.5,109.1,115.3,125.4,126.2,129.5,130.9,137.1,136.7,137.5,143.9,143.5,134.6,143.5,154.8
Halifax,103.2,116.6,127.6,125.8,110.9,119.9,114.2,112.5,112.9,113.7,112.3,112.4,107.5,85.4,67.9,78.2,89.8,96.1,94.7,94.2,94.1,91,96.5,107.5,115.4,125,125.1,127.6,129.2,135.4,134.1,135.1,142.4,140.8,130.7,141.4,153.8
Saint John,104.1,114.6,130,130.3,119.2,124,120,117.8,118.1,118.9,118.4,117.8,113.3,95.4,73.4,82.8,92.7,98.2,96.9,97,96.8,94.3,98.8,106.1,112.3,123.1,125.8,128.7,130.2,135.8,136.3,137.7,143.1,146,139.6,142.2,153.2
Quebec,107.2,121.9,130.6,132.6,122.2,127.3,118.6,117.2,115.2,116.7,116.4,115.1,113.4,99.1,81.1,93.5,103.8,109.5,108.3,107.7,101.1,103,107.2,114.8,121.1,128.4,128.7,133.8,134.7,137.7,139.9,144.6,150.6,154.6,149.8,152.7,164.5
Montreal,113.6,126.3,136,137.9,128.5,133.3,125.1,123.9,123.6,123.5,123.5,122.1,120.1,99.3,85.5,97,105.6,110.6,109.3,106.6,105.4,104.8,108.7,115.4,122.5,129.1,128.5,133.8,136.4,139.7,141.2,143.3,151.6,152.1,148.3,155.5,166.6
Ottawa,96.1,110.9,125.8,127.8,119.1,125.4,117.8,116.2,115.2,113.6,113.1,111.6,108.4,84.3,78.3,90.7,99.4,103.7,103.3,101.1,100.1,98.7,103.2,110.9,117.7,123.1,125.4,129.9,131.3,134.7,135.7,136.3,143.5,142.6,136,144.3,156
Toronto,102.1,115.8,126.7,127.7,118.9,125.3,118.5,116.7,116.9,116.4,116,114.6,111,86.1,79.1,91.2,99.9,104.3,103.9,101.8,100.7,99.3,103.6,110.9,118.1,123.8,125.9,130.2,132.6,136.4,137.2,137.9,145.3,144.3,137.7,146.1,157.5
Thunder Bay,116.7,123.9,140.2,145.3,139.9,135.9,133.7,131.4,130.7,128.6,127.9,127.6,126,110.9,84.9,100.1,111.8,117.7,116.2,116.4,116,113.3,114.6,121.4,125.3,132.9,138.5,138.5,140,146.2,146.7,146.8,153.7,153.8,143.8,149.9,157.5
Winnipeg,97.5,108.4,125.1,122.6,113.1,114.7,107.7,108.2,110.9,107,103.3,101.6,102.5,84.5,67.7,85.2,95.5,99.9,97.8,96.7,101.1,95.9,95.7,102.9,109.2,115.9,122.7,127.8,127.1,131.5,131.8,131.8,141.2,138.7,130.7,138.5,147.1
Regina,101.8,111.2,127.3,123.7,110.7,115.1,109,108.2,110.8,108.7,108.5,109.8,105.1,88.4,71.7,87.9,96.7,102.4,101.1,102.8,97.8,98.4,99.8,104.1,110.6,120.4,127.9,127,127,131.8,131.8,131.8,141.6,143.4,130.8,137,145.9
Saskatoon,101,110.9,127.8,128.3,121.5,118.2,110.6,108.2,109.9,101.6,107.2,110,107.1,85.2,65.6,85.7,96.5,103.3,102,103.6,102,97.5,100,103.8,110.3,119.7,126.5,125.3,126.5,131.3,131.3,131.7,141.3,143,129.7,135.7,145.7
Edmonton,99.2,110.2,118.9,117.8,100.4,105.4,99.9,99.3,98.2,95.1,96.2,98.8,96.4,77,62.4,83.3,92,95,92.2,98.8,92,90.2,94.7,100.9,109,114.5,119.9,123.4,125.6,133,132.3,129.5,138.3,136,130.6,133.7,142.2
Calgary,102,113.6,122.5,120.7,103.6,108.4,102.2,102.1,100.4,97.9,99,101.6,99,79.2,66.2,87.2,95.1,97.4,97.5,104.9,104.5,103.7,101.9,102.8,111.3,117.3,123.6,127.3,130.3,135.6,135.2,133.1,140.8,141.9,139.5,138.9,145.4
Vancouver,134.4,149.6,167.3,169,148.4,151.5,148.2,153.6,158.2,140.5,136.5,139.9,145.9,121.4,96.7,113,127.2,131.4,130,125.9,122.3,123.6,126.1,134.6,141.2,149.6,152.2,155.6,161.1,169.1,165.6,156.7,162.4,159.8,157.2,170.5,177.1
Victoria,126.7,137.6,157.5,161.3,146.5,142.2,136.1,141.9,150.7,138.9,132.4,139.7,143.2,126.3,99.4,107.9,123.2,129.8,127.9,125,121.6,119.9,120.3,128,137.6,148.1,148.3,154.3,155.2,167.2,163.1,156.3,160.9,158.2,152.6,164.6,170.1
Whitehorse,124.9,129.8,137.9,137.7,137.7,142.4,142.9,142.8,142.9,142.9,142.7,142.9,142.5,125.5,100.9,103,115.3,119.9,119.9,119.8,119.9,119.9,119.9,124.1,127.1,132.8,139.8,141.6,144.9,148.9,154.6,155.8,155.9,155.9,155.9,157.2,164.5
Yellowknife,120.3,125.6,134.5,142.7,138.5,134.4,131.6,133.5,133.4,132.1,131.7,129.7,127.6,112.4,94.7,96.7,109.5,115,116.5,117.2,120,118.9,118.9,121.4,124.3,130.4,135.7,140.9,143.1,147.6,149.8,149.9,150.6,152.8,151.5,151.5,158.1
